time_iso8601,stars_cumulative
2024-04-09 00:00:00+00:00,4209
2024-04-10 00:00:00+00:00,4217
2024-04-11 00:00:00+00:00,4218
2024-04-12 00:00:00+00:00,4221
2024-04-13 00:00:00+00:00,4223
2024-04-14 00:00:00+00:00,4227
2024-04-15 00:00:00+00:00,4230
2024-04-16 00:00:00+00:00,4233
2024-04-17 00:00:00+00:00,4242
2024-04-18 00:00:00+00:00,4246
2024-04-19 00:00:00+00:00,4249
2024-04-20 00:00:00+00:00,4251
2024-04-21 00:00:00+00:00,4255
2024-04-22 00:00:00+00:00,4257
2024-04-23 00:00:00+00:00,4258
2024-04-24 00:00:00+00:00,4261
2024-04-25 00:00:00+00:00,4265
2024-04-26 00:00:00+00:00,4268
2024-04-27 00:00:00+00:00,4271
2024-04-28 00:00:00+00:00,4275
2024-04-29 00:00:00+00:00,4277
2024-04-30 00:00:00+00:00,4281
2024-05-01 00:00:00+00:00,4286
2024-05-02 00:00:00+00:00,4295
2024-05-03 00:00:00+00:00,4297
2024-05-04 00:00:00+00:00,4299
2024-05-05 00:00:00+00:00,4303
2024-05-06 00:00:00+00:00,4308
2024-05-07 00:00:00+00:00,4309
2024-05-08 00:00:00+00:00,4311
2024-05-09 00:00:00+00:00,4314
2024-05-10 00:00:00+00:00,4317
2024-05-11 00:00:00+00:00,4319
2024-05-12 00:00:00+00:00,4322
2024-05-13 00:00:00+00:00,4327
2024-05-14 00:00:00+00:00,4330
2024-05-15 00:00:00+00:00,4337
2024-05-16 00:00:00+00:00,4343
2024-05-17 00:00:00+00:00,4345
2024-05-18 00:00:00+00:00,4346
2024-05-19 00:00:00+00:00,4349
2024-05-20 00:00:00+00:00,4352
2024-05-21 00:00:00+00:00,4356
2024-05-22 00:00:00+00:00,4358
2024-05-23 00:00:00+00:00,4363
2024-05-24 00:00:00+00:00,4365
2024-05-25 00:00:00+00:00,4367
2024-05-26 00:00:00+00:00,4370
2024-05-28 00:00:00+00:00,4372
